"NC","db_ar1","db_hist_sim","db_qra","db_ss_ar7","db_ss_arima","db_ss_rf","pb_ar7","pb_arima","pb_rf"
"0.1",0.0765472312703583,0.133550488599349,0.148208469055375,0.148208469055375,0.131921824104235,0.127035830618893,0.117263843648208,0.118892508143322,0.107491856677524
"0.25",0.195439739413681,0.257328990228013,0.278501628664495,0.307817589576547,0.273615635179153,0.280130293159609,0.273615635179153,0.262214983713355,0.260586319218241
"0.5",0.465798045602606,0.571661237785016,0.545602605863192,0.579804560260586,0.519543973941368,0.527687296416938,0.555374592833876,0.498371335504886,0.517915309446254
"0.75",0.789902280130293,0.799674267100977,0.757328990228013,0.789902280130293,0.737785016286645,0.771986970684039,0.771986970684039,0.744299674267101,0.760586319218241
"0.9",0.972312703583062,0.897394136807818,0.90228013029316,0.89413680781759,0.915309446254072,0.905537459283388,0.903908794788274,0.90228013029316,0.90228013029316
